Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos,mv_neg,mv_neu,mv_com
30/4/2021,23.18,23.549999,22.84,23.040001,23.040001,24717300,125,0.005523139,0.316863557,0.087072,0.08184,0.831072,0.0308224,0.171592,0.097424,0.730984,0.1713248
3/5/2021,23.01,23.08,22.209999,22.299999,22.299999,33934400,210,0.027382659,0.337434277,0.093966667,0.099409524,0.80662381,0.02316381,0.170947619,0.122295238,0.706738095,0.114080476
4/5/2021,21.940001,22.200001,20.870001,21.639999,21.639999,63429600,252,0.079028707,0.370886288,0.097809524,0.085873016,0.816305556,0.052239286,0.172154762,0.106551587,0.721293651,0.160890476
5/5/2021,21.809999,21.940001,20.969999,21.15,21.15,39134700,334,0.024825236,0.320439061,0.101817365,0.075437126,0.822760479,0.03994491,0.174488024,0.099191617,0.726338323,0.136203892
6/5/2021,21.02,21.02,19.41,20.09,20.09,92201100,721,0.0286704,0.343169265,0.098231623,0.099174757,0.802570042,0.013095978,0.150902913,0.124431345,0.724644938,0.057057698
7/5/2021,20.299999,20.75,19.58,19.75,19.75,63725500,601,0.047974932,0.336699163,0.101677205,0.084442596,0.8138802,0.035414809,0.163757072,0.105826955,0.730434276,0.114450582
10/5/2021,19.280001,19.299999,18.18,18.469999,18.469999,104670500,855,0.025281488,0.34887693,0.100905263,0.088515789,0.810577778,0.025872632,0.165240936,0.121330994,0.713414035,0.083270994
11/5/2021,17.200001,20.299999,17.055,20.209999,20.209999,203230500,1362,0.04666747,0.350429895,0.105017621,0.082399413,0.812577827,0.04807768,0.1704442,0.107108664,0.722431718,0.118770999
12/5/2021,20,20,18.51,18.889999,18.889999,128281500,550,0.042385247,0.320049268,0.101961818,0.07426,0.823781818,0.052377636,0.158130909,0.113727273,0.728150909,0.095193091
13/5/2021,19.139999,19.469999,17.82,18.370001,18.370001,87811600,362,0.048919876,0.307154395,0.094276243,0.071972376,0.833773481,0.069856354,0.164353591,0.092922652,0.742729282,0.155362983
14/5/2021,18.82,20.200001,18.530001,20.08,20.08,79409500,386,0.050226189,0.326830122,0.098839378,0.067044041,0.834126943,0.079809585,0.172787565,0.096259067,0.730950777,0.169990415
17/5/2021,19.73,20.49,19.629999,20.459999,20.459999,50039600,195,0.029090602,0.295701413,0.095430769,0.09445641,0.810112821,-0.018859487,0.163692308,0.115917949,0.720369231,0.101831282
