Date,Open,High,Low,Close,Adj Close,Volume,count
24/8/2021,13.44,13.81,13.25,13.81,13.81,12649000,19
25/8/2021,13.67,13.82,13.37,13.54,13.54,11390800,9
26/8/2021,13.45,13.77,13.06,13.25,13.25,16502500,15
27/8/2021,13.22,13.64,13.12,13.42,13.42,10619900,7
30/8/2021,13.51,13.51,12.9,13.13,13.13,12907800,7
31/8/2021,13.09,14.19,12.96,13.69,13.69,20161000,75
1/9/2021,13.74,14.2,13.51,13.57,13.57,13943600,18
2/9/2021,13.66,14.27,13.45,13.85,13.85,17892200,35
3/9/2021,13.75,14.16,13.44,13.59,13.59,13665700,9
7/9/2021,13.6,13.67,13.17,13.3,13.3,12900500,18
8/9/2021,13.22,13.33,12.77,12.8,12.8,14441300,12
9/9/2021,12.94,13.15,12.76,12.86,12.86,12649000,8
10/9/2021,12.96,12.96,12.4,12.41,12.41,18407600,20
13/9/2021,12.44,12.47,11.92,12.23,12.23,16030700,17
14/9/2021,12.26,12.31,11.72,11.74,11.74,16072900,31
15/9/2021,11.76,12.19,11.68,12.03,12.03,12982400,15
16/9/2021,12,12.24,11.9,12.01,12.01,9316000,13
17/9/2021,12,12.2,11.75,12.17,12.17,13644900,9
20/9/2021,11.76,11.77,11.02,11.23,11.23,25536800,13
21/9/2021,11.23,11.54,11.03,11.22,11.22,19702500,18
22/9/2021,11.28,11.88,11.25,11.63,11.63,16297000,31
23/9/2021,12.2,12.4,11.87,12.02,12.02,21476600,59
24/9/2021,11.85,11.98,11.64,11.67,11.67,13173400,26
27/9/2021,11.7,12.27,11.65,12.22,12.22,14941700,31
28/9/2021,12.04,12.19,11.6,11.63,11.63,17537500,8
29/9/2021,11.73,11.77,11.09,11.11,11.11,17441800,18
30/9/2021,11.17,11.53,10.95,11.29,11.29,20291000,43
1/10/2021,11.29,11.37,10.84,11.15,11.15,18180300,29
4/10/2021,11.02,11.11,10.68,10.74,10.74,14980700,117
5/10/2021,10.75,11.34,10.68,11.1,11.1,18162500,186
6/10/2021,10.9,10.94,10.68,10.79,10.79,18595400,165
7/10/2021,10.82,11.42,10.37,11.02,11.02,34914000,295
8/10/2021,10.85,11.08,10.46,10.49,10.49,20199900,95
11/10/2021,10.37,10.61,10.15,10.16,10.16,12642500,35
12/10/2021,10.16,10.56,10.12,10.28,10.28,13749900,24
13/10/2021,10.34,10.54,10.2,10.29,10.29,10136900,24
14/10/2021,10.42,10.81,10.37,10.39,10.39,14890300,28
15/10/2021,10.46,10.53,10.19,10.24,10.24,13082200,14
18/10/2021,10.21,10.24,9.98,10.07,10.07,13975100,21
19/10/2021,10.17,11.83,10.03,11.66,11.66,68798000,257
20/10/2021,11.55,11.8,11.02,11.59,11.59,44082000,156
21/10/2021,11.46,12.16,11.42,11.56,11.56,30666900,84
22/10/2021,11.53,11.53,10.94,11.08,11.08,18841500,27
25/10/2021,11.05,11.29,10.88,11,11,13868500,8
26/10/2021,11.07,11.14,10.58,10.71,10.71,15137800,19
27/10/2021,10.7,10.83,10.29,10.3,10.3,15093900,20
28/10/2021,10.33,10.57,10.19,10.5,10.5,11171600,15
29/10/2021,10.43,10.64,10.22,10.3,10.3,11177500,14
1/11/2021,10.24,10.88,10.1,10.75,10.75,17396100,23
2/11/2021,10.72,10.73,10.24,10.42,10.42,14972500,26
3/11/2021,10.38,11.09,10.32,10.86,10.86,17924500,18
4/11/2021,11.13,11.28,10.7,10.81,10.81,14915500,20
5/11/2021,10.75,10.77,10.16,10.7,10.7,23511900,34
8/11/2021,10.74,12.57,10.69,12.37,12.37,48931600,147
9/11/2021,12.14,12.71,11.51,12.38,12.38,33221600,85
10/11/2021,11.99,12.45,11.4,11.52,11.52,21170700,18
11/11/2021,11.67,12.13,11.57,11.86,11.86,17104100,14
12/11/2021,12.57,13.07,12.11,12.94,12.94,56022300,109
15/11/2021,13.37,13.95,12.97,13.03,13.03,61294100,205
16/11/2021,12.78,13.3,12.26,12.97,12.97,28670000,91
17/11/2021,12.73,13.15,12.3,12.34,12.34,16254700,36
18/11/2021,11.92,12.14,10.7,10.9,10.9,42792400,109
19/11/2021,11.2,11.4,10.7,10.93,10.93,24096900,145
22/11/2021,11.2,11.2,10.22,10.49,10.49,23342600,59
23/11/2021,10.47,10.91,10.24,10.5,10.5,18239100,24
24/11/2021,10.53,11.05,10.32,10.9,10.9,15538500,49
26/11/2021,10.43,10.73,10.3,10.57,10.57,12165000,12
