Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos,mv_neg,mv_neu,mv_com,Movement,rsi
19/2/2021,5.54,5.77,5.51,5.7,5.7,40249100,238,0.057546741,0.331280281,0.126453782,0.064852941,0.808701681,0.13027605,0.176878151,0.080063025,0.74307563,0.215734034,1,1
22/2/2021,5.93,6.68,5.75,6.55,6.55,173409000,1000,0.072653804,0.295318999,0.096787,0.052989,0.850224,0.1123132,0.160806,0.067873,0.771329,0.1943751,1,1
23/2/2021,6.97,7.86,6.01,7.7,7.7,264876400,1943,0.040319882,0.291194185,0.088402985,0.056031395,0.855559959,0.078796603,0.167909933,0.075784354,0.75630211,0.184282038,1,1
24/2/2021,7.23,9.83,6.99,9.09,9.09,376881800,3069,0.032061342,0.276614326,0.08253405,0.054139785,0.863324536,0.057819616,0.16529912,0.071727599,0.762977843,0.173296155,1,1
25/2/2021,10.89,11,7.85,8.29,8.29,445717400,5287,0.048540424,0.284758979,0.090321354,0.052734821,0.856946851,0.085392756,0.169654814,0.068970683,0.761379043,0.197348137,-1,1
26/2/2021,8.19,9.01,7.63,8.01,8.01,137028000,2803,0.042540205,0.280527988,0.088176597,0.074035319,0.837780592,0.063681627,0.161238316,0.090828041,0.747931502,0.169144916,-1,1
1/3/2021,8.86,9.45,8.42,9.18,9.18,143586500,204,0.069570686,0.325352091,0.130632353,0.061,0.808377451,0.211281863,0.193421569,0.078490196,0.728073529,0.291691176,1,1
2/3/2021,9.14,9.4,8.51,8.93,8.93,78135400,634,0.061840888,0.325352091,0.098488959,0.07405205,0.827452681,0.061242429,0.161977918,0.087130915,0.750895899,0.177198738,-1,1
3/3/2021,8.95,9.14,8.5,8.58,8.58,55651900,1111,0.06061651,0.341521777,0.102083708,0.061680468,0.836234923,0.145335374,0.171688569,0.074035104,0.75429703,0.246138884,-1,1
4/3/2021,8.25,8.59,7.5,8.03,8.03,77822600,574,0.064940958,0.37207544,0.10965331,0.071473868,0.818850174,0.122101045,0.161688153,0.083928571,0.754397213,0.214132753,-1,1
5/3/2021,8.08,8.27,7.63,8.05,8.05,59734100,21,0.013740998,0.293905142,0.115142857,0.039714286,0.845095238,0.181819048,0.155047619,0.061714286,0.783285714,0.231490476,-1,1
8/3/2021,8.53,9.48,8.31,9.29,9.29,114343800,449,0.055377127,0.287154758,0.087146993,0.051469933,0.86136971,0.094678174,0.174389755,0.073089087,0.752503341,0.207170156,1,1
9/3/2021,9.38,10.77,9.22,10.5,10.5,150415600,1251,0.059816723,0.302722708,0.09447562,0.058230216,0.847289369,0.098485532,0.155984812,0.075669864,0.768338929,0.178705596,1,1
10/3/2021,11.02,12.47,9.51,9.85,9.85,261918600,2180,0.057941638,0.315819108,0.099716514,0.06973945,0.830540826,0.064217477,0.158344954,0.089952752,0.751694037,0.135441193,-1,-1
11/3/2021,10.65,10.87,9.9,10.28,10.28,83933600,720,0.056054287,0.35975165,0.1031625,0.075768056,0.821079167,0.094561944,0.164340278,0.094491667,0.741177778,0.173634861,-1,1
12/3/2021,10.16,11.4,9.94,11.16,11.16,111146700,677,0.067962709,0.303761199,0.098889217,0.056586411,0.844530281,0.104619941,0.162971935,0.080075332,0.756966027,0.191682866,1,1
15/3/2021,12.18,14.49,11.85,14.04,14.04,277713300,2493,0.083613417,0.337714585,0.10362495,0.062354994,0.834022062,0.096829924,0.170005616,0.085630164,0.744356197,0.181762014,1,1
16/3/2021,13.62,13.62,12.34,13.02,13.02,125967600,1145,0.074209475,0.36150579,0.10729869,0.065324017,0.827373799,0.121771528,0.16849345,0.084822707,0.74669083,0.216360961,-1,1
17/3/2021,13.24,13.66,13,13.56,13.56,78053600,372,0.074751587,0.320843496,0.094268817,0.050583333,0.855153226,0.14558871,0.156642473,0.077408602,0.765946237,0.206991935,1,1
18/3/2021,14.34,14.54,13.57,14,14,121418000,106,0.01801101,0.36833635,0.101870123,0.07828963,0.819832593,0.157272543,0.141975309,0.116040247,0.741984444,0.18205316,-1,1
19/3/2021,14.14,14.18,13.28,13.93,13.93,153206000,106,0.01801101,0.36833635,0.101870123,0.07828963,0.819832593,0.157272543,0.141975309,0.116040247,0.741984444,0.18205316,-1,1
22/3/2021,13.15,13.19,11.76,12.49,12.49,88760100,106,0.01801101,0.36833635,0.101870123,0.07828963,0.819832593,0.157272543,0.141975309,0.116040247,0.741984444,0.18205316,-1,1
23/3/2021,11.46,11.93,10.37,10.66,10.66,87923200,106,0.01801101,0.36833635,0.101870123,0.07828963,0.819832593,0.157272543,0.141975309,0.116040247,0.741984444,0.18205316,-1,1
24/3/2021,10.82,11.21,8.93,9.02,9.02,81850700,106,0.01801101,0.36833635,0.101870123,0.07828963,0.819832593,0.157272543,0.141975309,0.116040247,0.741984444,0.18205316,-1,1
25/3/2021,8.96,11.32,8.95,10.94,10.94,131192800,106,0.01801101,0.36833635,0.101870123,0.07828963,0.819832593,0.157272543,0.141975309,0.116040247,0.741984444,0.18205316,1,1
26/3/2021,11.27,11.53,10.01,10.24,10.24,84633100,106,0.01801101,0.36833635,0.101870123,0.07828963,0.819832593,0.157272543,0.141975309,0.116040247,0.741984444,0.18205316,-1,1
29/3/2021,10.32,10.76,10.09,10.35,10.35,37330700,287,0.075562204,0.37430095,0.114149826,0.078310105,0.807515679,0.107319861,0.170554007,0.103432056,0.725989547,0.173479791,1,1
30/3/2021,10.31,10.52,9.76,10.35,10.35,39020500,256,0.027991161,0.320533052,0.094605469,0.074136719,0.831269531,0.060021875,0.145707031,0.105359375,0.748914063,0.085114453,1,-1
31/3/2021,10.4,10.47,10.05,10.21,10.21,29832300,206,0.053621595,0.395879168,0.104456311,0.081063107,0.814485437,0.106325728,0.160970874,0.121038835,0.717990291,0.136062621,-1,-1
1/4/2021,10.23,10.26,9.15,9.36,9.36,77473900,532,0.045291807,0.38501415,0.114770677,0.091943609,0.793285714,0.069186842,0.161180451,0.134597744,0.704229323,0.063454323,-1,-1
5/4/2021,10.1,11.25,9.72,10.61,10.61,96082300,508,0.044359104,0.352041465,0.115627953,0.064110236,0.820242126,0.13549626,0.166755906,0.121177165,0.712055118,0.111405118,1,-1
6/4/2021,10.4,10.5,10,10.2,10.2,44067000,198,0.031212146,0.330603837,0.093282828,0.094686869,0.812030303,0.061724242,0.146565657,0.141262626,0.712186869,0.080370202,-1,-1
7/4/2021,10.07,10.18,9.85,9.85,9.85,28804300,164,0.058869385,0.352653371,0.112853659,0.076060976,0.811073171,0.125833537,0.1585,0.128682927,0.71279878,0.07652561,-1,-1
8/4/2021,10.01,10.01,9.5,9.79,9.79,33408700,166,0.083401989,0.366192768,0.118493976,0.072301205,0.809150602,0.167460843,0.17,0.095048193,0.734921687,0.215825301,-1,1
9/4/2021,9.6,9.74,9.24,9.42,9.42,29254600,158,0.059190558,0.399660796,0.118120253,0.071949367,0.809949367,0.118403797,0.170316456,0.100765823,0.728962025,0.17788038,-1,1
12/4/2021,9.44,9.49,8.51,8.62,8.62,51269800,140,0.05942365,0.363223555,0.107990454,0.074851733,0.817155011,0.094481817,0.162121343,0.104997665,0.732882652,0.15811601,-1,1
13/4/2021,8.66,9.12,8.31,8.84,8.84,44049100,140,0.05942365,0.363223555,0.107990454,0.074851733,0.817155011,0.094481817,0.162121343,0.104997665,0.732882652,0.15811601,1,1
14/4/2021,9,9.81,8.9,9.35,9.35,51166300,122,0.059656735,0.326786315,0.097860656,0.077754098,0.824360656,0.070559836,0.15392623,0.109229508,0.736803279,0.138351639,1,-1
15/4/2021,9.88,10.23,9.58,9.9,9.9,45198900,313,0.092281003,0.390238012,0.113405751,0.061076677,0.825511182,0.167348882,0.160728435,0.083415335,0.755875399,0.184530671,1,1
16/4/2021,10,10.03,9.09,9.33,9.33,40696700,189,0.034283159,0.41526291,0.113888889,0.092227513,0.793867725,0.085332275,0.157343915,0.10921164,0.73347619,0.13335873,-1,-1
19/4/2021,9.48,9.81,9.38,9.66,9.66,32814300,76,0.052623764,0.373643687,0.115394737,0.065052632,0.819552632,0.11015,0.172947368,0.088802632,0.738223684,0.191157895,1,1
20/4/2021,9.7,9.71,9.01,9.28,9.28,27008900,61,0.030598526,0.314522558,0.102147541,0.065754098,0.832147541,0.092711475,0.137213115,0.079213115,0.783606557,0.160913115,-1,1
21/4/2021,9.25,9.81,9.14,9.78,9.78,23598200,97,0.02087669,0.355894083,0.087927835,0.068556701,0.843525773,0.069562887,0.158298969,0.099701031,0.742020619,0.174540206,1,1
22/4/2021,9.95,10.65,9.79,9.99,9.99,49923500,127,0.058293717,0.380211896,0.131362205,0.048866142,0.81976378,0.18252126,0.201968504,0.082433071,0.715629921,0.197892913,1,1
23/4/2021,10.09,10.38,9.96,10.16,10.16,27465600,110,0.045167041,0.323063154,0.096927273,0.055536364,0.847563636,0.051227273,0.185754545,0.068990909,0.745254545,0.189731818,1,1
26/4/2021,10.69,11.96,10.57,11.5,11.5,78592900,229,0.064583796,0.317601147,0.112689956,0.064183406,0.823135371,0.14380655,0.183650655,0.094676856,0.721659389,0.191087336,1,1
27/4/2021,11.68,12.22,11.22,11.46,11.46,51629800,234,0.061395002,0.338259437,0.110508547,0.071461538,0.818017094,0.13927906,0.173115385,0.117517094,0.709376068,0.162163675,-1,1
28/4/2021,10.85,11.39,10.65,10.85,10.85,39720500,341,0.015707542,0.371906691,0.107460411,0.080812317,0.81172434,0.116126686,0.180507331,0.106510264,0.712970674,0.200188563,1,1
29/4/2021,10.95,11.04,10.09,10.2,10.2,37782900,124,0.017748182,0.33936386,0.096725806,0.08333871,0.819943548,0.10836371,0.187104839,0.103298387,0.709620968,0.248501613,-1,1
30/4/2021,10.07,10.18,9.88,10.03,10.03,27741000,93,0.02576246,0.378846644,0.099322581,0.085967742,0.814655914,0.075997849,0.190548387,0.104365591,0.705064516,0.246354839,-1,1
3/5/2021,10.11,10.12,9.61,9.71,9.71,31251200,86,0.103075657,0.349102313,0.104313953,0.075581395,0.820093023,0.109023256,0.1665,0.112348837,0.721174419,0.169404651,-1,1
4/5/2021,9.63,9.75,9.05,9.39,9.39,35222400,81,0.081078362,0.331713193,0.099790123,0.069851852,0.830358025,0.07662963,0.143061728,0.112864198,0.744123457,0.05277037,-1,-1
5/5/2021,9.41,9.57,9.08,9.17,9.17,27608700,181,0.04291618,0.338592472,0.087917127,0.056519337,0.855552486,0.108372376,0.156939227,0.080038674,0.763038674,0.191309392,-1,1
6/5/2021,9.33,9.4,8.93,9,9,39586300,331,0.037219132,0.322811679,0.081728097,0.068912387,0.849374622,0.02728852,0.143722054,0.106492447,0.749779456,0.103590634,-1,-1
7/5/2021,9.32,9.79,9.14,9.51,9.51,38245000,213,0.055088415,0.305640109,0.090178404,0.056507042,0.853319249,0.106444131,0.141920188,0.078516432,0.779568075,0.173410798,1,1
10/5/2021,9.9,10.15,9.56,9.74,9.74,41015300,265,0.035272287,0.34059706,0.091890566,0.076071698,0.832056604,0.028778868,0.1604,0.093554717,0.746045283,0.112677736,-1,-1
11/5/2021,9.93,10.48,9.6,10.05,10.05,49601000,346,0.032273512,0.340464598,0.096101156,0.058641618,0.845265896,0.105373988,0.178884393,0.076254335,0.744861272,0.189872832,1,1
12/5/2021,10.03,10.63,10.02,10.32,10.32,54423500,307,0.020741197,0.283928147,0.095765472,0.070289902,0.833964169,0.063980782,0.179055375,0.079876221,0.741100977,0.185002606,1,1
13/5/2021,10.88,14.2,10.64,12.77,12.77,296525000,1716,0.043836291,0.307050693,0.094614802,0.060468531,0.84491958,0.065349009,0.161382284,0.104135781,0.7344831,0.109917424,1,-1
14/5/2021,13.31,14.34,12.57,12.98,12.98,207589900,1383,0.050078605,0.288314426,0.088760665,0.061524946,0.849710051,0.066262184,0.155497469,0.109825741,0.734660882,0.092091251,-1,-1
17/5/2021,13.67,14.38,13.39,13.95,13.95,158933100,882,0.057928297,0.288596542,0.092320862,0.067052154,0.840637188,0.046643424,0.161866213,0.108223356,0.729917234,0.099313265,1,-1
18/5/2021,14.25,14.67,13.57,14.03,14.03,172488400,1116,0.050582473,0.336638287,0.09663172,0.068247312,0.835128136,0.074203584,0.155333333,0.111884409,0.732781362,0.084133602,-1,-1
19/5/2021,12.95,13.31,12.14,12.64,12.64,89024100,508,0.044543525,0.323424003,0.099903543,0.087283465,0.812826772,0.04315,0.143675197,0.144775591,0.711527559,0.022893504,-1,-1
20/5/2021,12.59,12.99,12.03,12.55,12.55,61419700,327,0.044911494,0.30848481,0.102180428,0.083266055,0.814568807,0.052819878,0.170544343,0.128376147,0.701079511,0.071910092,-1,-1
21/5/2021,12.61,12.84,12.05,12.08,12.08,53937700,235,0.047543164,0.37384413,0.104217021,0.067485106,0.828285106,0.104179574,0.149995745,0.096344681,0.753655319,0.101811064,-1,-1
24/5/2021,12.38,13.96,12.17,13.68,13.68,113319200,433,0.032132637,0.288610438,0.084829099,0.07369515,0.841482679,0.042971594,0.145944573,0.126240185,0.727810624,0.047520554,1,-1
25/5/2021,13.61,16.67,13.55,16.41,16.41,213644100,1013,0.038652667,0.298396423,0.097586377,0.074635735,0.827773939,0.056079072,0.160782823,0.11489536,0.724304047,0.085590721,1,-1
26/5/2021,17.76,19.950001,17.26,19.559999,19.559999,379064100,2053,0.037535816,0.301234598,0.087283975,0.059589381,0.853125183,0.065562104,0.153552362,0.097071115,0.749375061,0.116632051,1,-1
27/5/2021,18.610001,29.76,18.309999,26.52,26.52,705545700,5345,0.044133952,0.298386423,0.091428625,0.060736763,0.84783218,0.074804341,0.173430683,0.088422077,0.738153227,0.165656894,1,1
28/5/2021,31.809999,36.720001,24.17,26.120001,26.120001,660623600,5997,0.050099288,0.290693756,0.090927297,0.059608638,0.849465233,0.068657862,0.172276138,0.089132566,0.738589795,0.155681941,-1,1
1/6/2021,31.889999,33.529999,28.530001,32.040001,32.040001,508694600,2680,0.048926043,0.334249336,0.097523507,0.068751866,0.833725373,0.071655672,0.155804104,0.102934701,0.741268284,0.10942403,1,-1
2/6/2021,37.52,72.620003,35.59,62.549999,62.549999,766462500,6765,0.054371291,0.33141254,0.098907169,0.067367332,0.833735255,0.085762262,0.158660754,0.092718108,0.748626312,0.147392402,1,-1
3/6/2021,58.099998,68.800003,37.66,51.34,51.34,598142200,8227,0.05088597,0.339615571,0.104369029,0.072589279,0.823040233,0.087410867,0.160389328,0.102015072,0.737594263,0.134107633,-1,-1
4/6/2021,48.790001,57.48,46.040001,47.91,47.91,337710100,3933,0.052224433,0.335987205,0.103905924,0.067112128,0.828980422,0.105863565,0.162411899,0.095321129,0.742264683,0.165258505,-1,1
7/6/2021,52.380001,59.68,51.5,55,55,349094900,1721,0.056902489,0.312165274,0.094085997,0.059598489,0.846316095,0.100975305,0.158837304,0.077072632,0.764101104,0.182997385,1,1
8/6/2021,57.16,60.619999,52.77,55.049999,55.049999,214490300,1591,0.05261627,0.346984333,0.108627907,0.066011314,0.825362036,0.10625022,0.16792709,0.086415462,0.745651791,0.185126336,-1,1
9/6/2021,52.200001,53.389999,48.119999,49.34,49.34,150361300,2240,0.06180821,0.361826106,0.108929018,0.077083482,0.813986607,0.089281429,0.159765179,0.101854911,0.738394643,0.137540982,-1,-1
10/6/2021,47.93,51.5,39.709999,42.810001,42.810001,224860600,1983,0.054111062,0.340883525,0.100462431,0.074214322,0.825334846,0.071820877,0.157990419,0.09933182,0.74269995,0.136665003,-1,-1
11/6/2021,44.68,49.599998,42.009998,49.400002,49.400002,218006600,1384,0.068672346,0.308859485,0.097744942,0.05741763,0.844823699,0.094396749,0.160602601,0.076111994,0.763275289,0.177310621,1,1
14/6/2021,51.830002,60.549999,51.52,57,57,301467300,1028,0.057698591,0.297680502,0.102105058,0.05205642,0.84584144,0.113783366,0.16304572,0.0682607,0.768692607,0.202079377,1,1
15/6/2021,58.389999,64.709999,56.73,59.040001,59.040001,285582100,915,0.057388995,0.353798918,0.109128962,0.067461202,0.823412022,0.096501311,0.173878689,0.08109071,0.745037158,0.198706557,1,1
16/6/2021,56.139999,57.34,51.860001,55.18,55.18,166450700,709,0.074552189,0.35635296,0.103648801,0.063885755,0.832465444,0.104893512,0.162600846,0.083080395,0.754330042,0.184635402,-1,1
17/6/2021,54,63.830002,52.98,60.73,60.73,303576000,1087,0.063280455,0.330151245,0.100951242,0.062957682,0.836080037,0.092435603,0.169034039,0.082360626,0.748600736,0.188513063,1,1
18/6/2021,61.259998,64.959999,56.849998,59.259998,59.259998,243645900,673,0.071269824,0.346108972,0.103867756,0.080503715,0.815610698,0.075518722,0.160430906,0.094020802,0.745540862,0.160896731,-1,1
21/6/2021,61.34,63.009998,53.43,55.689999,55.689999,185876100,400,0.059829159,0.337407521,0.11185,0.06614,0.8220375,0.0807655,0.17545,0.0927575,0.7318175,0.163185,-1,1
22/6/2021,54.099998,58.740002,51.049999,58.27,58.27,169494100,509,0.050907499,0.324507951,0.101410609,0.054125737,0.844459725,0.118649509,0.174426326,0.071390963,0.75418664,0.199690177,1,1
23/6/2021,57.040001,61.099998,56.799999,58.299999,58.299999,116291800,414,0.059315884,0.324279764,0.110166667,0.064985507,0.824874396,0.090317874,0.171731884,0.086205314,0.74207971,0.164049034,1,1
24/6/2021,57.98,58.759998,55.66,56.700001,56.700001,80351200,359,0.05617075,0.336240668,0.10764624,0.073582173,0.818785515,0.08143844,0.174194986,0.098685237,0.727133705,0.158391643,-1,1
25/6/2021,55.75,56.290001,52.970001,54.060001,54.060001,77596900,311,0.056757858,0.318928008,0.108093248,0.075450161,0.816453376,0.043584244,0.151511254,0.092987138,0.755488746,0.122864309,-1,-1
28/6/2021,55.099998,59.360001,54.330002,58.110001,58.110001,99310200,419,0.075323695,0.325814189,0.115670644,0.057408115,0.826942721,0.123831742,0.185286396,0.071954654,0.742756563,0.24155179,1,1
29/6/2021,59.060001,61,56.18,56.43,56.43,63604100,272,0.039191175,0.322719803,0.109731618,0.059974265,0.830305147,0.120070588,0.167753676,0.074408088,0.757823529,0.215711029,-1,1
30/6/2021,56,58.18,54.650002,56.68,56.68,59020600,214,0.02867978,0.309140109,0.112126168,0.059785047,0.828116822,0.116066822,0.178859813,0.082696262,0.738481308,0.20017757,1,1
1/7/2021,56.860001,57.709999,52.529999,54.220001,54.220001,57549900,267,0.074713763,0.31725922,0.103029963,0.062632959,0.834307116,0.110829213,0.1742397,0.076853933,0.748891386,0.221820225,-1,1
2/7/2021,52.77,53.25,47.77,51.959999,51.959999,90271500,281,0.046084641,0.31635299,0.096523132,0.083074733,0.820405694,0.064508541,0.166790036,0.112181495,0.721060498,0.1543121,-1,1
6/7/2021,53.459999,55.07,49.700001,49.959999,49.959999,62370300,217,0.055524445,0.347935536,0.095110599,0.075147465,0.82975576,0.042512903,0.151419355,0.095170507,0.753410138,0.136435023,-1,-1
7/7/2021,47.700001,48.990002,42.799999,45.07,45.07,95320200,254,0.040182913,0.372653976,0.099122047,0.08357874,0.817291339,0.059175197,0.160673228,0.106771654,0.732570866,0.11939252,-1,-1
8/7/2021,40.950001,49.790001,38.759998,47.939999,47.939999,145078200,219,0.067077106,0.32495438,0.110981735,0.073780822,0.815232877,0.120075342,0.182219178,0.090223744,0.727570776,0.208455708,1,1
