Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos
15/4/2021,607.059998,619.47998,598.01001,614.75,614.75,388500,129,0.060307672,0.437699527,0.091945736,0.097689922,0.810372093,0.004073643,0.12920155
16/4/2021,617.099976,638.960022,614,634.5,634.5,595300,218,0.010138191,0.417381695,0.103637615,0.099816514,0.79653211,-0.012017431,0.129738532
19/4/2021,629.119995,643.969971,624.75,641.440002,641.440002,566100,52,0.024913018,0.490746508,0.1125,0.10625,0.781288462,0.017115385,0.140269231
20/4/2021,641.719971,641.73999,614.549988,636,636,912600,28,0.078891044,0.439821804,0.102357143,0.063321429,0.834178571,0.1484,0.12575
21/4/2021,634.929993,663.210022,629.01001,657,657,673500,21,0.14615337,0.379519171,0.085666667,0.066285714,0.847952381,0.08052381,0.085428571
22/4/2021,659.75,672.98999,646.429993,654.359985,654.359985,750200,67,0.083824546,0.424753909,0.084149254,0.087238806,0.828626866,0.005585075,0.107253731
23/4/2021,658.150024,689.849976,654.090027,687.98999,687.98999,805700,65,-0.01164011,0.397603175,0.079923077,0.101523077,0.818615385,-0.110663077,0.106753846
26/4/2021,687.98999,690,675.190002,688.5,688.5,980900,68,0.097135553,0.431703287,0.112529412,0.054941176,0.832529412,0.222651471,0.154794118
27/4/2021,679.880005,722.22998,678.049988,712.390015,712.390015,816400,151,0.06669434,0.372591021,0.086993377,0.072516556,0.840490066,0.067621192,0.113092715
28/4/2021,710.200012,726.099976,706.02002,720.01001,720.01001,604200,65,0.064853853,0.454864732,0.084430769,0.106169231,0.809446154,-0.016873846,0.113046154
29/4/2021,725,733.049988,704,705.450012,705.450012,641200,44,0.054679697,0.342740746,0.070659091,0.073477273,0.855818182,0.018743182,0.085545455
30/4/2021,700.799988,702.830017,684.960022,688.02002,688.02002,399600,66,0.019499522,0.381659665,0.095530303,0.078666667,0.825833333,0.032234848,0.126681818
3/5/2021,697.5,710.77002,690.200012,699.049988,699.049988,405800,68,0.055881657,0.417214017,0.11825,0.087058824,0.794691176,0.118525,0.159455882
4/5/2021,689,695.48999,665,687.200012,687.200012,520000,84,0.046705463,0.397939175,0.103321429,0.110261905,0.786428571,-0.00734881,0.135464286
5/5/2021,693,694.929993,674.169983,681.159973,681.159973,261400,77,0.030848184,0.465622881,0.09387013,0.089207792,0.816857143,0.042954545,0.132194805
6/5/2021,677.299988,686.710022,670.840027,684.969971,684.969971,274400,59,0.0528249,0.387533575,0.116949153,0.068254237,0.814830508,0.071861017,0.149813559
7/5/2021,684.27002,707.320007,680.340027,701,701,352200,63,0.046813118,0.421094021,0.112095238,0.061380952,0.82647619,0.13375873,0.134063492
